0,Android ,S1 ,started ,2015-03-07T15:15
0,B,S2 ,started ,2015-03-08T15:15
0,C,S3 ,started ,2015-03-09T15:15
1,Android,S1 ,-- ,2015-03-07T15:15
1,D,S4 ,started ,2015-03-10T15:15
1,E,S6 ,started ,2015-03-11T15:15
0,E,S6 ,-- ,2015-03-07T15:15
0,F,S8 ,started ,2015-03-12T15:15
0,G,S7 ,started ,2015-03-13T15:15
0,H,S5 ,started ,2015-03-14T15:15
1,G,S7 ,-- ,2015-03-07T15:15
1,F,S8 ,-- ,2015-03-07T15:15
1,H,S5 ,-- ,2015-03-07T15:15
2,Android,S1 ,-- ,2015-03-07T15:15
2,D,S4 ,-- ,2015-03-07T15:15
2,E,S6 ,-- ,2015-03-07T15:15
2,F,S8 ,-- ,2015-03-07T15:15
2,G,S7 ,-- ,2015-03-07T15:15
2,H,S5 ,-- ,2015-03-07T15:15
3,Android,S1 ,-- ,2015-03-07T15:15
3,B,S2 ,-- ,2015-03-07T15:15
3,C,S3 ,-- ,2015-03-07T15:15
4,Android,S1 ,-- ,2015-03-07T15:15
4,D,S4 ,completed ,2015-05-07T15:15
4,E,S6 ,-- ,2015-03-07T15:15
4,F,S8 ,-- ,2015-03-07T15:15
4,G,S7 ,-- ,2015-03-07T15:15
4,H,S5 ,-- ,2015-03-07T15:15
3,E,S6 ,-- ,2015-03-07T15:15
3,G,S7 ,-- ,2015-03-07T15:15
3,F,S8 ,-- ,2015-03-07T15:15
3,H,S5 ,completed ,2015-05-08T15:15
5,Android,S1 ,completed ,2015-05-09T15:15
5,B,S2 ,completed ,2015-05-10T15:15
5,C,S3 ,completed ,2015-05-11T15:15
5,E,S6 ,completed ,2015-05-12T15:15
5,G,S7 ,completed ,2015-05-13T15:15
5,F,S8 ,completed ,2015-05-14T15:15
