0,	Android ,	S1 ,	started ,	2015-03-07T15:15
0,	Java,		S2 ,	started ,	2015-03-08T15:15
0,	Python,		S3 ,	started ,	2015-03-09T15:15
1,	Android,	S1 ,	-- ,		2015-03-07T15:15
1,	C++,		S4 ,	started ,	2015-03-10T15:15
1,	Laravel,	S6 ,	started ,	2015-03-11T15:15
0,	Laravel	,	S6 ,	-- ,		2015-03-07T15:15
0,	IOS,		S8 ,	started ,	2015-03-12T15:15
0,	Graphic Design,	S5 ,	started ,	2015-03-14T15:15
1,	IOS,		S8 ,	-- ,		2015-03-07T15:15
1,	Graphic Design,	S5 ,	-- ,		2015-03-07T15:15
2,	Android,	S1 ,	-- ,		2015-03-07T15:15
2,	C++,		S4 ,	-- ,		2015-03-07T15:15
2,	Laravel,	S6 ,	-- ,		2015-03-07T15:15
2,	IOS,		S8 ,	-- ,		2015-03-07T15:15
2,	Graphic Design,	S5 ,	-- ,		2015-03-07T15:15
3,	Android,	S1 ,	-- ,		2015-03-07T15:15
3,	Java,		S2 ,	-- ,		2015-03-07T15:15
3,	Python,		S3 ,	-- ,		2015-03-07T15:15
4,	Android,	S1 ,	-- ,		2015-03-07T15:15
4,	C++,		S4 ,	completed ,	2015-05-07T15:15
4,	Laravel,	S6 ,	-- ,		2015-03-07T15:15
4,	IOS,		S8 ,	-- ,		2015-03-07T15:15
4,	Graphic Design,	S5 ,	-- ,		2015-03-07T15:15
3,	Laravel,	S6 ,	-- ,		2015-03-07T15:15
3,	IOS,		S8 ,	-- ,		2015-03-07T15:15
3,	Graphic Design,	S5 ,	completed ,	2015-05-08T15:15
5,	Android,	S1 ,	completed ,	2015-05-09T15:15
5,	Java,		S2 ,	completed ,	2015-05-10T15:15
5,	Python,		S3 ,	completed ,	2015-05-11T15:15
5,	Laravel,	S6 ,	completed ,	2015-05-12T15:15
5,	IOS,		S8 ,	completed ,	2015-05-14T15:15
